Champion,Picks,Bans,Total
Udyr,50,27,77
Renekton,11,64,75
Lee Sin,28,46,74
Kaisa,66,7,73
Varus,14,56,70
Morgana,33,36,69
Thresh,11,57,68
Gnar,41,26,67
Lucian,15,50,65
Nautilus,45,20,65
Rumble,37,24,61
Leona,35,20,55
Orianna,22,26,48
Senna,3,45,48
Tristana,35,11,46
Jayce,22,22,44
Zoe,20,24,44
Viktor,25,15,40
Sylas,17,23,40
Nocturne,11,27,38
Alistar,21,16,37
Sett,11,15,26
Rell,13,12,25
Tahm Kench,10,11,21
Sion,14,6,20
Urgot,7,11,18
Ryze,8,9,17
Syndra,10,7,17
Xayah,14,3,17
Nidalee,10,6,16
Gangplank,9,3,12
Twisted Fate,3,9,12
Wukong,4,8,12
Olaf,7,4,11
Volibear,10,1,11
Kalista,7,4,11
Galio,5,5,10
Rakan,5,4,9
Akali,5,3,8
Jinx,6,2,8
Braum,7,1,8
Qiyana,3,4,7
Aphelios,7,0,7
Lillia,4,3,7
Aatrox,6,0,6
Draven,0,6,6
Gragas,6,0,6
Irelia,1,5,6
Lulu,4,2,6
Samira,4,2,6
Karma,3,2,5
Ahri,1,3,4
KogMaw,4,0,4
Kindred,3,1,4
Yone,3,1,4
Diana,1,2,3
Fiddlesticks,1,2,3
Kassadin,2,1,3
LeBlanc,2,1,3
Camille,1,2,3
Ashe,1,1,2
Blitzcrank,1,1,2
Graves,2,0,2
Hecarim,2,0,2
Karthus,1,1,2
Malphite,1,1,2
Vayne,2,0,2
Zed,2,0,2
Azir,2,0,2
Jhin,2,0,2
Ornn,2,0,2
Amumu,0,1,1
Darius,1,0,1
Ezreal,0,1,1
KhaZix,1,0,1
Lissandra,1,0,1
Shen,1,0,1
Trundle,1,0,1
Vladimir,1,0,1
Xerath,1,0,1
Yasuo,1,0,1
Yorick,1,0,1
Anivia,0,0,0
Annie,0,0,0
Brand,0,0,0
Caitlyn,0,0,0
Cassiopeia,0,0,0
Chogath,0,0,0
Corki,0,0,0
Dr. Mundo,0,0,0
Elise,0,0,0
Evelynn,0,0,0
Fiora,0,0,0
Fizz,0,0,0
Garen,0,0,0
Heimerdinger,0,0,0
Janna,0,0,0
Jarvan IV,0,0,0
Jax,0,0,0
Katarina,0,0,0
Kayle,0,0,0
Kennen,0,0,0
Lux,0,0,0
Malzahar,0,0,0
Maokai,0,0,0
Master Yi,0,0,0
Miss Fortune,0,0,0
Mordekaiser,0,0,0
Nami,0,0,0
Nasus,0,0,0
Nunu,0,0,0
Pantheon,0,0,0
Poppy,0,0,0
Quinn,0,0,0
Rammus,0,0,0
Rengar,0,0,0
Riven,0,0,0
Sejuani,0,0,0
Shaco,0,0,0
Shyvana,0,0,0
Singed,0,0,0
Sivir,0,0,0
Skarner,0,0,0
Sona,0,0,0
Soraka,0,0,0
Swain,0,0,0
Talon,0,0,0
Taric,0,0,0
Teemo,0,0,0
Tryndamere,0,0,0
Twitch,0,0,0
Veigar,0,0,0
Vi,0,0,0
Warwick,0,0,0
Xin Zhao,0,0,0
Zac,0,0,0
Ziggs,0,0,0
Zilean,0,0,0
Zyra,0,0,0
RekSai,0,0,0
VelKoz,0,0,0
Bard,0,0,0
Ekko,0,0,0
Illaoi,0,0,0
Aurelion Sol,0,0,0
Taliyah,0,0,0
Kled,0,0,0
Ivern,0,0,0
Kayn,0,0,0
Pyke,0,0,0
Neeko,0,0,0
Yuumi,0,0,0
Seraphine,0,0,0
Viego,0,0,0
Gwen,0,0,0
Akshan,0,0,0
Vex,0,0,0
Zeri,0,0,0
Renata Glasc,0,0,0
Belveth,0,0,0
Nilah,0,0,0
KSante,0,0,0
