Champion,Picks,Bans,Total
Aatrox,22,58,80
Yuumi,8,68,76
Sejuani,30,42,72
Caitlyn,8,62,70
Azir,37,29,66
Sylas,32,28,60
Graves,25,34,59
Maokai,21,35,56
Lucian,26,29,55
Akali,24,24,48
Viego,30,18,48
Fiora,19,23,42
Renata Glasc,21,20,41
Renekton,16,23,39
Aphelios,31,8,39
Viktor,19,16,35
Kalista,18,13,31
Ornn,16,15,31
Nami,26,1,27
Varus,19,8,27
Lee Sin,15,8,23
LeBlanc,8,14,22
Poppy,13,9,22
Heimerdinger,8,13,21
Camille,11,10,21
Nautilus,7,11,18
Vi,12,6,18
Jarvan IV,8,8,16
Jax,11,5,16
Lulu,15,1,16
Gragas,11,3,14
Lissandra,5,9,14
Gnar,9,5,14
Taliyah,7,7,14
Ashe,6,7,13
Draven,6,7,13
Thresh,7,6,13
Kaisa,8,5,13
Leona,9,3,12
Ryze,4,8,12
Soraka,9,3,12
Trundle,7,5,12
Amumu,6,5,11
Belveth,6,5,11
Karma,7,3,10
Sivir,8,2,10
Tristana,6,4,10
Yone,5,5,10
Gangplank,4,5,9
Miss Fortune,8,1,9
Rell,6,3,9
Ezreal,5,3,8
Galio,4,4,8
Lux,7,1,8
Tahm Kench,6,2,8
Kindred,4,4,8
Syndra,5,2,7
Ahri,5,1,6
Hecarim,4,2,6
Jinx,4,2,6
Nidalee,2,4,6
Pyke,1,5,6
Senna,3,3,6
Sett,5,1,6
Seraphine,4,2,6
Jayce,3,2,5
Kennen,3,2,5
Alistar,2,2,4
Braum,2,2,4
Kayn,2,2,4
Karthus,1,2,3
Nocturne,1,2,3
Orianna,3,0,3
Swain,2,1,3
Blitzcrank,2,0,2
Darius,1,1,2
Fiddlesticks,1,1,2
Mordekaiser,0,2,2
Singed,1,1,2
Bard,2,0,2
Jhin,2,0,2
Xayah,2,0,2
Rakan,1,1,2
Gwen,2,0,2
Nilah,0,2,2
Anivia,1,0,1
Irelia,1,0,1
Malphite,1,0,1
Nasus,1,0,1
Olaf,0,1,1
Rumble,1,0,1
Shen,1,0,1
Wukong,1,0,1
Xin Zhao,1,0,1
Annie,0,0,0
Brand,0,0,0
Cassiopeia,0,0,0
Chogath,0,0,0
Corki,0,0,0
Diana,0,0,0
Dr. Mundo,0,0,0
Elise,0,0,0
Evelynn,0,0,0
Fizz,0,0,0
Garen,0,0,0
Janna,0,0,0
Kassadin,0,0,0
Katarina,0,0,0
Kayle,0,0,0
KhaZix,0,0,0
KogMaw,0,0,0
Malzahar,0,0,0
Master Yi,0,0,0
Morgana,0,0,0
Nunu,0,0,0
Pantheon,0,0,0
Quinn,0,0,0
Rammus,0,0,0
Rengar,0,0,0
Riven,0,0,0
Shaco,0,0,0
Shyvana,0,0,0
Sion,0,0,0
Skarner,0,0,0
Sona,0,0,0
Talon,0,0,0
Taric,0,0,0
Teemo,0,0,0
Tryndamere,0,0,0
Twisted Fate,0,0,0
Twitch,0,0,0
Udyr,0,0,0
Urgot,0,0,0
Vayne,0,0,0
Veigar,0,0,0
Vladimir,0,0,0
Volibear,0,0,0
Warwick,0,0,0
Xerath,0,0,0
Yasuo,0,0,0
Yorick,0,0,0
Zac,0,0,0
Zed,0,0,0
Ziggs,0,0,0
Zilean,0,0,0
Zyra,0,0,0
RekSai,0,0,0
VelKoz,0,0,0
Ekko,0,0,0
Illaoi,0,0,0
Aurelion Sol,0,0,0
Kled,0,0,0
Ivern,0,0,0
Zoe,0,0,0
Neeko,0,0,0
Qiyana,0,0,0
Lillia,0,0,0
Samira,0,0,0
Akshan,0,0,0
Vex,0,0,0
Zeri,0,0,0
KSante,0,0,0
