Champion,Picks,Bans,Total
Varus,7,20,27
Trundle,10,11,21
Graves,8,12,20
Syndra,10,9,19
Ezreal,10,7,17
Thresh,11,6,17
Aphelios,14,3,17
Sett,7,10,17
Ornn,7,9,16
Lee Sin,9,6,15
Kalista,7,8,15
Karma,7,7,14
Wukong,7,7,14
Zoe,5,9,14
LeBlanc,3,10,13
Olaf,7,5,12
Nidalee,4,7,11
Kindred,4,7,11
Nautilus,5,5,10
Yuumi,6,4,10
Senna,5,5,10
Corki,5,4,9
Rumble,3,6,9
Azir,5,3,8
Galio,3,4,7
Jayce,5,2,7
Mordekaiser,3,3,6
Twisted Fate,2,4,6
Ekko,5,1,6
Sylas,3,3,6
Gragas,5,0,5
Irelia,1,4,5
Leona,4,1,5
Renekton,4,1,5
Aatrox,4,0,4
Elise,1,3,4
Lucian,4,0,4
RekSai,2,2,4
Gangplank,3,0,3
Kennen,3,0,3
Lissandra,1,2,3
Maokai,1,2,3
Miss Fortune,3,0,3
Taric,2,1,3
Yasuo,3,0,3
Tahm Kench,3,0,3
Akali,1,1,2
Hecarim,2,0,2
Jarvan IV,0,2,2
Pantheon,1,1,2
Braum,2,0,2
Bard,0,2,2
Camille,2,0,2
Pyke,1,1,2
Blitzcrank,1,0,1
Kassadin,1,0,1
Kayle,1,0,1
Nocturne,1,0,1
Orianna,1,0,1
Ryze,1,0,1
Sejuani,1,0,1
Sivir,1,0,1
Vladimir,1,0,1
Kaisa,1,0,1
Ahri,0,0,0
Alistar,0,0,0
Amumu,0,0,0
Anivia,0,0,0
Annie,0,0,0
Ashe,0,0,0
Brand,0,0,0
Caitlyn,0,0,0
Cassiopeia,0,0,0
Chogath,0,0,0
Darius,0,0,0
Diana,0,0,0
Dr. Mundo,0,0,0
Draven,0,0,0
Evelynn,0,0,0
Fiddlesticks,0,0,0
Fiora,0,0,0
Fizz,0,0,0
Garen,0,0,0
Heimerdinger,0,0,0
Janna,0,0,0
Jax,0,0,0
Jinx,0,0,0
Karthus,0,0,0
Katarina,0,0,0
KhaZix,0,0,0
KogMaw,0,0,0
Lulu,0,0,0
Lux,0,0,0
Malphite,0,0,0
Malzahar,0,0,0
Master Yi,0,0,0
Morgana,0,0,0
Nami,0,0,0
Nasus,0,0,0
Nunu,0,0,0
Poppy,0,0,0
Quinn,0,0,0
Rammus,0,0,0
Rengar,0,0,0
Riven,0,0,0
Shaco,0,0,0
Shen,0,0,0
Shyvana,0,0,0
Singed,0,0,0
Sion,0,0,0
Skarner,0,0,0
Sona,0,0,0
Soraka,0,0,0
Swain,0,0,0
Talon,0,0,0
Teemo,0,0,0
Tristana,0,0,0
Tryndamere,0,0,0
Twitch,0,0,0
Udyr,0,0,0
Urgot,0,0,0
Vayne,0,0,0
Veigar,0,0,0
Vi,0,0,0
Viktor,0,0,0
Volibear,0,0,0
Warwick,0,0,0
Xerath,0,0,0
Xin Zhao,0,0,0
Yorick,0,0,0
Zac,0,0,0
Zed,0,0,0
Ziggs,0,0,0
Zilean,0,0,0
Zyra,0,0,0
Gnar,0,0,0
VelKoz,0,0,0
Illaoi,0,0,0
Jhin,0,0,0
Aurelion Sol,0,0,0
Taliyah,0,0,0
Kled,0,0,0
Ivern,0,0,0
Xayah,0,0,0
Rakan,0,0,0
Kayn,0,0,0
Neeko,0,0,0
Qiyana,0,0,0
Lillia,0,0,0
Yone,0,0,0
Samira,0,0,0
Seraphine,0,0,0
Rell,0,0,0
Viego,0,0,0
Gwen,0,0,0
Akshan,0,0,0
Vex,0,0,0
Zeri,0,0,0
Renata Glasc,0,0,0
Belveth,0,0,0
Nilah,0,0,0
KSante,0,0,0
