Champion,Picks,Bans,Total
Ahri,30,47,77
Lucian,3,74,77
Wukong,26,48,74
Gwen,42,25,67
LeBlanc,15,49,64
Nautilus,33,22,55
Viego,40,15,55
Gangplank,20,29,49
Kalista,12,32,44
Ezreal,23,20,43
Twisted Fate,19,24,43
Leona,28,11,39
Kaisa,24,15,39
Tristana,19,18,37
Lee Sin,24,12,36
Graves,20,14,34
Xayah,19,15,34
Rakan,12,18,30
Galio,16,13,29
Karma,6,19,25
Renata Glasc,13,12,25
Ornn,14,8,22
Senna,7,15,22
Vex,11,11,22
Zoe,13,8,21
Nocturne,10,10,20
Alistar,9,9,18
Diana,6,10,16
Pyke,8,8,16
Jax,5,10,15
Sylas,8,7,15
Vladimir,8,6,14
Gnar,9,5,14
Camille,7,7,14
Aphelios,12,2,14
Aatrox,7,6,13
Tryndamere,7,6,13
Jhin,12,1,13
Samira,5,8,13
Caitlyn,2,10,12
Jayce,4,8,12
Kennen,8,4,12
Tahm Kench,6,6,12
Gragas,7,3,10
Volibear,4,6,10
Braum,7,2,9
Rell,7,2,9
Jinx,5,3,8
Karthus,3,5,8
Lissandra,8,0,8
Syndra,3,5,8
Urgot,4,4,8
Xin Zhao,4,4,8
Akali,5,2,7
Irelia,4,3,7
Yasuo,3,4,7
Jarvan IV,6,0,6
Miss Fortune,5,1,6
Poppy,3,3,6
Yuumi,2,4,6
Zeri,4,2,6
Rumble,4,1,5
Sion,5,0,5
Vi,2,3,5
Evelynn,2,2,4
Mordekaiser,2,2,4
Ryze,2,2,4
Bard,4,0,4
Sett,3,1,4
Yone,3,1,4
Trundle,1,2,3
Viktor,3,0,3
Anivia,2,0,2
Corki,2,0,2
Draven,0,2,2
Kayle,1,1,2
Nami,2,0,2
Renekton,1,1,2
Shen,2,0,2
Taric,2,0,2
Vayne,2,0,2
Veigar,2,0,2
Zed,1,1,2
Kindred,2,0,2
Ashe,1,0,1
Darius,1,0,1
Fiora,1,0,1
Garen,1,0,1
Malzahar,1,0,1
Morgana,1,0,1
Nidalee,1,0,1
Orianna,1,0,1
Riven,1,0,1
Sejuani,1,0,1
Ziggs,1,0,1
Azir,1,0,1
VelKoz,1,0,1
Ekko,0,1,1
Lillia,1,0,1
Amumu,0,0,0
Annie,0,0,0
Blitzcrank,0,0,0
Brand,0,0,0
Cassiopeia,0,0,0
Chogath,0,0,0
Dr. Mundo,0,0,0
Elise,0,0,0
Fiddlesticks,0,0,0
Fizz,0,0,0
Hecarim,0,0,0
Heimerdinger,0,0,0
Janna,0,0,0
Kassadin,0,0,0
Katarina,0,0,0
KhaZix,0,0,0
KogMaw,0,0,0
Lulu,0,0,0
Lux,0,0,0
Malphite,0,0,0
Maokai,0,0,0
Master Yi,0,0,0
Nasus,0,0,0
Nunu,0,0,0
Olaf,0,0,0
Pantheon,0,0,0
Quinn,0,0,0
Rammus,0,0,0
Rengar,0,0,0
Shaco,0,0,0
Shyvana,0,0,0
Singed,0,0,0
Sivir,0,0,0
Skarner,0,0,0
Sona,0,0,0
Soraka,0,0,0
Swain,0,0,0
Talon,0,0,0
Teemo,0,0,0
Thresh,0,0,0
Twitch,0,0,0
Udyr,0,0,0
Varus,0,0,0
Warwick,0,0,0
Xerath,0,0,0
Yorick,0,0,0
Zac,0,0,0
Zilean,0,0,0
Zyra,0,0,0
RekSai,0,0,0
Illaoi,0,0,0
Aurelion Sol,0,0,0
Taliyah,0,0,0
Kled,0,0,0
Ivern,0,0,0
Kayn,0,0,0
Neeko,0,0,0
Qiyana,0,0,0
Seraphine,0,0,0
Akshan,0,0,0
Belveth,0,0,0
Nilah,0,0,0
KSante,0,0,0
